id,product_id,customer_id,region_id,date_id,quantity,unit_price,total_price,created_at
1,1,1,1,1,2,1200,2400,2023-01-15
2,2,2,2,2,5,800,4000,2023-02-20
3,3,3,3,3,3,600,1800,2023-03-10
4,4,4,4,4,10,150,1500,2023-04-05
5,1,2,1,1,1,1200,1200,2023-01-15
6,2,3,2,2,2,800,1600,2023-02-20
7,3,4,3,3,4,600,2400,2023-03-10
8,4,1,4,4,7,150,1050,2023-04-05
9,1,3,2,2,3,1200,3600,2023-02-20
10,2,4,3,3,6,800,4800,2023-03-10
11,3,1,4,4,2,600,1200,2023-04-05
12,4,2,1,1,5,150,750,2023-01-15
13,1,4,2,2,4,1200,4800,2023-02-20
14,2,1,3,3,1,800,800,2023-03-10
15,3,2,4,4,7,600,4200,2023-04-05
16,4,3,1,1,3,150,450,2023-01-15
17,1,1,2,2,2,1200,2400,2023-02-20
18,2,2,3,3,5,800,4000,2023-03-10
19,3,3,4,4,1,600,600,2023-04-05
20,4,4,1,1,8,150,1200,2023-01-15
